,Global Rank,Institution,Country,Sector
926,435,Xijing Hospital,CHN,Health
927,435,University of Macau,MAC,Universities
928,435,VTT Technical Research Centre of Finland,FIN,Companies
929,435,Tohoku University *,JPN,Universities
930,435,Ilam University of Medical Sciences,IRN,Universities
931,435,Temple University *,USA,Universities
932,435,Swiss Federal Institute of Aquatic Science and Technology,CHE,Government
933,436,Fondazione Bruno Kessler,ITA,Non-Profit
934,436,"Biogen Idec, USA",USA,Companies
935,436,First Affiliated Jiangsu Province Hospital with Nanjing Medical University,CHN,Health
936,437,Aberystwyth University,GBR,Universities
937,437,"Institute of Soil Science, Chinese Academy of Sciences",CHN,Government
938,437,ShanghaiTech University,CHN,Universities
939,437,Norwegian Institute for Water Research,NOR,Government
940,437,"Hefei Institutes of Physical Sciences, Chinese Academy of Sciences",CHN,Government
941,437,"Shaanxi Normal University, Xi'an",CHN,Universities
942,438,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
943,438,Centro di Riferimento Oncologico Aviano IRCCS,ITA,Health
944,438,Yonsei University Health System,KOR,Health
945,439,University of East Anglia *,GBR,Universities
946,439,"Centro de Investigacion Biomedica en Red de Enfermedades Respiratorias, Madrid",ESP,Health
947,439,Peking Union Medical College Hospital Beijing,CHN,Health
948,439,Mitsubishi Chemical Holdings Corp,MUL,Companies
949,439,Universita degli Studi di Milano,ITA,Universities
950,440,Affiliated Hospital of Nantong University,CHN,Health
951,440,Kyoto Prefectural University of Medicine,JPN,Universities
952,440,University of St. Andrews,GBR,Universities
953,440,China University of Petroleum,CHN,Universities
954,441,Capital University of Medical Sciences,CHN,Universities
955,441,Istituto per la Tecnologia delle Membrane,ITA,Government
956,441,Chung-Ang University *,KOR,Universities
957,442,Ajou University,KOR,Universities
958,442,Wenzhou University,CHN,Universities
959,442,Instituto Maimonides de Investigacion Biomedica de Cordoba,ESP,Health
960,442,National University of Defense Technology,CHN,Universities
961,442,Laboratoire Materiaux et Phenomenes Quantiques,FRA,Government
962,442,Queensland Institute of Medical Research,AUS,Health
963,442,Royan Institute,IRN,Health
964,442,City University of New York Graduate Center,USA,Universities
965,442,Centro de Investigacion Principe Felipe,ESP,Health
966,442,National Health Research Institutes,TWN,Health
967,442,Instituto de Telecomunicacoes,PRT,Government
968,442,Universidad Nacional Autonoma de Mexico,MEX,Universities
969,442,Karolinska University Hospital,SWE,Health
970,443,"State University of New York, Albany",USA,Universities
971,443,University of Strathclyde,GBR,Universities
972,444,University of Georgia,USA,Universities
973,445,Lanzhou Jiaotong University,CHN,Universities
974,445,The Florida A&M University and The Florida State University College of Engineering,USA,Universities
975,445,Anhui Medical University *,CHN,Universities
976,445,Rheinische Friedrich-Wilhelms-Universitat Bonn *,DEU,Universities
977,446,Universite du Quebec en Montreal,CAN,Universities
978,446,Institut de Genetique et Biologie Moleculaire et Cellulaire,FRA,Government
979,446,Institut National Polytechnique de Toulouse *,FRA,Universities
980,447,Universitat des Saarlandes *,DEU,Universities
981,447,University of Arizona *,USA,Universities
982,448,"State University of New York, Buffalo",USA,Universities
983,448,Universite Claude Bernard Lyon 1 *,FRA,Universities
984,448,Biogen Idec *,MUL,Companies
985,448,Sookmyung Womens University,KOR,Universities
986,448,Arizona Health Sciences Center University of Arizona Tucson,USA,Health
987,448,"City University of New York, City College",USA,Universities
988,449,Changzhou University,CHN,Universities
989,449,University of Ottawa,CAN,Universities
990,449,"Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences",CHN,Government
991,449,Academia Sinica *,TWN,Government
992,449,Max Planck Institut fur Biophysikalische Chemie,DEU,Government
993,449,Max Planck Institut fur Dynamik und Selbstorganisation,DEU,Government
994,449,"Institute of Botany, Chinese Academy of Science",CHN,Government
995,449,Minnan Normal University,CHN,Universities
996,450,Nagoya University *,JPN,Universities
997,450,Fundacion Agencia Aragonesa para la Investigacion y Desarrollo,ESP,Government
998,450,Universite de Haute-Alsace Mulhouse-Colmar *,FRA,Universities
999,450,FOM Institute for Atomic and Molecular Physics,NLD,Government
1000,451,Institut d'Investigacions Biomediques August Pi i Sunyer,ESP,Health
1001,451,Harbin Engineering University,CHN,Universities
1002,451,Babol Noshirvani University of Technology,IRN,Universities
1003,451,Wuhan Tongji Hospital,CHN,Health
1004,451,Korea University of Science and Technology,KOR,Universities
1005,451,Alfaisal University,SAU,Universities
1006,452,Fujian Medical University Union Hospital,CHN,Health
1007,452,Universitat Wien,AUT,Universities
1008,453,State Key Joint Laboratory of Integrated Optoelectronics,CHN,Government
1009,453,Nanjing Agricultural University,CHN,Universities
1010,453,Portland State University,USA,Universities
1011,453,Deakin University *,AUS,Universities
1012,453,Xiangtan University,CHN,Universities
1013,453,Complejo Hospitalario Regional Reina Sofia,ESP,Health
1014,454,Tianjin Polytechnic University,CHN,Universities
1015,454,Natural Environment Research Council *,GBR,Government
1016,454,Stockholm University,SWE,Universities
1017,454,CIC NanoGUNE,ESP,Non-Profit
1018,454,Shandong University Qilu Hospital,CHN,Health
1019,455,Chongqing Technology and Business University,CHN,Universities
1020,455,Universitat de Valencia *,ESP,Universities
1021,455,"Institute of Metal Research, Chinese Academy of Sciences",CHN,Government
1022,456,"Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences",CHN,Government
1023,456,Hadhramout University,YEM,Universities
1024,457,Shantou University Medical College,CHN,Universities
1025,457,Centre Interuniversitaire de Recherche et d'Ingenierie des Materiaux,FRA,Government
1026,457,Swansea University,GBR,Universities
1027,458,Southwest Jiaotong University,CHN,Universities
1028,458,Second Affiliated Hospital & Yuying Children s Hospital of Wenzhou Medical University,CHN,Health
1029,458,Shuang Ho Hospital,TWN,Health
1030,459,Tampere University,FIN,Universities
1031,459,Universidade do Porto *,PRT,Universities
1032,459,Queen's University Belfast,GBR,Universities
1033,459,City University London,GBR,Universities
1034,460,Centro de Edafologia y Biologia Aplicada del Segura,ESP,Government
1035,460,National Defense Medical Center,TWN,Health
1036,460,Jeju National University *,KOR,Universities
1037,460,Zhongshan Hospital,CHN,Health
1038,460,Klinikum Ludwig Maximilians Universitat Munchen,DEU,Health
1039,460,University of South Carolina *,USA,Universities
1040,461,Medical University of South Carolina *,USA,Universities
1041,461,University of Cincinnati *,USA,Universities
1042,461,Universidad Politecnica de Madrid *,ESP,Universities
1043,461,Centro de Investigacion Biomedica en Red de Enfermedades Respiratorias,ESP,Health
1044,461,"Institute of Oceanology, Chinese Academy of Sciences",CHN,Government
1045,462,South Dakota State University,USA,Universities
1046,462,Consorzio Interuniversitario Nazionale per la Scienza e la Tecnologia dei Materiali,ITA,Government
1047,462,Qufu Normal University,CHN,Universities
1048,463,Guys & Saint Thomas NHS Foundation Trust,GBR,Health
1049,463,Tibet University,CHN,Universities
1050,463,Taizhou University,CHN,Universities
1051,463,Huashan Hospital,CHN,Health
1052,464,"Louisiana State University, Baton Rouge",USA,Universities
1053,465,Nanjing University of Finance and Economics,CHN,Universities
1054,465,Guangxi University,CHN,Universities
1055,465,Universite de Nantes *,FRA,Universities
1056,465,Nanjing Normal University,CHN,Universities
1057,465,Flemish Institute for Technological Research,BEL,Government
1058,465,West China Hospital of Stomatology,CHN,Health
1059,466,First Affiliated Hospital of Anhui Medical University,CHN,Health
1060,466,Rensselaer Polytechnic Institute,USA,Universities
1061,466,"Changchun Institute of Optics Fine Mechanics and Physics, Chinese Academy of Sciences",CHN,Government
1062,466,Centros de Investigacion do Sistema Universitario Galego *,ESP,Government
1063,467,Wayne State University,USA,Universities
1064,467,Manchester Academic Health Science Centre,GBR,Health
1065,467,"Chang Gung Memorial Hospital, Kaohsiung",TWN,Health
1066,467,South China Normal University,CHN,Universities
1067,468,Centre de Biochimie Structurale,FRA,Government
1068,468,United States Geological Survey,USA,Government
1069,468,Jiangsu Normal University,CHN,Universities
1070,469,National Chemical Laboratory,IND,Government
1071,469,"Institute of Process Engineering, Chinese Academy of Sciences",CHN,Government
1072,469,Copenhagen University Hospital,DNK,Health
1073,469,Fujian Medical University *,CHN,Universities
1074,470,Universidad de Zaragoza *,ESP,Universities
1075,470,General Hospital of Tianjin Medical University,CHN,Health
1076,470,Instituto de Investigacion en Ciencias de la Alimentacion,ESP,Government
1077,470,ExxonMobil *,MUL,Companies
1078,470,"University of Montana, Missoula",USA,Universities
1079,470,Second Affiliated Hospital of Chongqing Medical University,CHN,Health
1080,470,Zhejiang Sci-Tech University,CHN,Universities
1081,470,"ExxonMobil, USA",USA,Companies
1082,470,Academy of Athens,GRC,Government
1083,470,Universita degli Studi di Urbino Carlo Bo,ITA,Universities
1084,471,Henan University *,CHN,Universities
1085,471,North China Electric Power University,CHN,Universities
1086,471,Universitatsspital Basel,CHE,Health
1087,472,Institut des Biomolecules Max Mousseron,FRA,Government
1088,472,Chonbuk National University *,KOR,Universities
1089,472,Azienda Ospedaliero Universitaria Policlinico Sant'Orsola Malpighi,ITA,Health
1090,472,Universita degli Studi di Padova,ITA,Universities
1091,472,University of Oslo,NOR,Universities
1092,472,Helmholtz Zentrum Berlin fur Materialien und Energie,DEU,Government
1093,473,Edith Cowan University,AUS,Universities
1094,473,Juntendo University *,JPN,Universities
1095,473,Central Scientific Instruments Organisation,IND,Government
1096,473,Beijing Academy of Quantum Information Sciences,CHN,Government
1097,474,Fondazione IFOM Istituto Firc di Oncologia Molecolare,ITA,Health
1098,474,Australian National University,AUS,Universities
1099,474,Institut de Ciencia de Materials de Barcelona,ESP,Government
1100,474,Universite Paris-Nord 13 *,FRA,Universities
1101,474,"Washington State University, Pullman *",USA,Universities
1102,474,Institut National de Recherche en Informatique et en Automatique *,FRA,Government
1103,475,"University of North Carolina, Charlotte",USA,Universities
1104,475,Laboratoire Charles Coulomb,FRA,Government
1105,475,Karl Franzens Universitat Graz *,AUT,Universities
1106,476,Robert Gordon University,GBR,Universities
1107,476,"University of Missouri, Kansas City",USA,Universities
1108,476,Shahroud University of Medical Sciences,IRN,Universities
1109,476,Institut des Nanosciences de Paris,FRA,Government
1110,477,Dow Chemical Co,MUL,Companies
1111,477,Politecnico di Milano,ITA,Universities
1112,477,Radboud University Nijmegen,NLD,Universities
1113,477,Technische Universitat Graz *,AUT,Universities
1114,477,Institut Fresnel,FRA,Government
1115,478,Universitatsklinikum Freiburg,DEU,Health
1116,478,Simon Fraser University,CAN,Universities
1117,478,"Xinjiang Technical Institute of Physics and Chemistry, Chinese Academy of Sciences",CHN,Government
1118,478,Corning *,MUL,Companies
1119,478,Universitat Jaume I *,ESP,Universities
1120,478,Austrian Institute of Technology,AUT,Government
1121,478,Laboratoire de Genie Chimique de Toulouse,FRA,Government
1122,478,College de France,FRA,Universities
1123,479,Universite du Luxembourg,LUX,Universities
1124,479,Sichuan Agricultural University,CHN,Universities
1125,479,Leibniz Institut fur Naturstoff-Forschung und Infektionsbiologie e.V. Hans-Knoll-Institut,DEU,Government
1126,479,"California State University, Los Angeles",USA,Universities
1127,480,Beijing Technology and Business University,CHN,Universities
1128,480,Fujian University of Traditional Chinese Medicine,CHN,Universities
1129,480,Qatar Environment and Energy Research Institute,QAT,Government
1130,480,The Manchester Metropolitan University,GBR,Universities
1131,481,London South Bank University,GBR,Universities
1132,481,Universitat Rovira i Virgili *,ESP,Universities
1133,482,Centre de Biophysique Moleculaire,FRA,Government
1134,482,Anhui University,CHN,Universities
1135,482,Odense University Hospital,DNK,Health
1136,483,Florida International University,USA,Universities
1137,483,Qatar Foundation *,QAT,Non-Profit
1138,483,U.S. Department of Energy *,USA,Government
1139,483,Trinity College Dublin *,IRL,Universities
1140,483,University of Central Florida,USA,Universities
1141,484,Istituto Nazionale dei Tumori Fondazione Giovanni Pascale IRCCS,ITA,Health
1142,484,Royal Institute of Technology,SWE,Universities
1143,484,Korea Research Institute of Chemical Technology,KOR,Government
1144,485,Chia Nan University of Pharmacy and Science,TWN,Universities
1145,485,Hospital for Sick Children,CAN,Health
1146,485,Basque Excellence Research Centre *,ESP,Government
1147,485,Instituto de Ciencia de Materiales de Madrid,ESP,Government
1148,485,Shaanxi University of Science and Technology,CHN,Universities
1149,486,University of Idaho,USA,Universities
1150,486,Leibniz Institut fur Festkorper und Werkstoffforschung Dresden,DEU,Government
1151,486,Florida Agricultural & Mechanical University,USA,Universities
1152,486,University of Oregon,USA,Universities
1153,486,Hallym University Medical Center,KOR,Health
1154,486,Shanghai Institute of Technology,CHN,Non-Profit
1155,486,"Northwest University, Xi'an",CHN,Universities
1156,487,Kingston University,GBR,Universities
1157,487,Seoul National University Hospital *,KOR,Health
1158,487,Guangzhou University of Traditional Chinese Medicine *,CHN,Universities
1159,487,Institut Universitaire de France,FRA,Government
1160,487,Universitat Stuttgart,DEU,Universities
1161,488,Shanxi University,CHN,Universities
1162,488,"Panasonic Corp, Japan",JPN,Companies
1163,488,Hainan University,CHN,Universities
1164,488,Jet Propulsion Laboratory,USA,Government
1165,489,"China Medical University, Shenyang *",CHN,Universities
1166,489,Kent State University,USA,Universities
1167,489,Yasuj University of Medical Sciences,IRN,Universities
1168,489,Universita degli Studi di Bari,ITA,Universities
1169,490,Obihiro University of Agriculture and Veterinary Medicine,JPN,Universities
1170,490,Hungarian Academy of Sciences *,HUN,Government
1171,491,University of Akron,USA,Universities
1172,491,Universitat Politecnica de Catalunya *,ESP,Universities
1173,491,King Fahd Medical Research Center,SAU,Health
1174,492,Bilkent University,TUR,Universities
1175,492,State Key Joint Laboratory of Environmental Simulation and Pollution Control,CHN,Government
1176,492,Dongguk University *,KOR,Universities
1177,492,"University of Texas, San Antonio",USA,Universities
1178,492,Universita degli Studi di Palermo,ITA,Universities
1179,492,Fujian Normal University,CHN,Universities
1180,492,China West Normal University,CHN,Universities
1181,492,Northeast Normal University,CHN,Universities
1182,493,Centro de Investigacion Biomedica en Red de Enfermedades Hepaticas y Digestivas,ESP,Health
1183,493,Nottingham University Hospitals NHS Trust,GBR,Health
1184,493,University of the West of Scotland,GBR,Universities
1185,493,"Syngenta, United Kingdom",GBR,Companies
1186,494,China University of Mining and Technology,CHN,Universities
1187,494,Universitat d'Alacant *,ESP,Universities
1188,494,Chinese Academy of Forestry *,CHN,Government
1189,494,Curtin University *,AUS,Universities
1190,494,"Chang Gung Memorial Hospital, Keelung",TWN,Health
1191,495,Barcelona Supercomputing Center,ESP,Government
1192,495,Taiyuan University of Technology,CHN,Universities
1193,495,Air University,PAK,Universities
1194,495,Dow Chemical Co USA,USA,Companies
1195,495,Daegu Gyeongbuk Institute of Science and Technology,KOR,Universities
1196,495,Hamad Bin Khalifa University *,QAT,Universities
1197,495,Jiangxi University of Traditional Chinese Medicine,CHN,Universities
1198,496,Iwate Medical University *,JPN,Universities
1199,496,"California State University, Long Beach",USA,Universities
1200,496,Zhejiang Chinese Medical University *,CHN,Universities
1201,496,National Institute for Public Health and the Environment,NLD,Health
1202,497,Beijing Forestry University,CHN,Universities
1203,497,Zhejiang A & F University *,CHN,Universities
1204,497,"Chimie et Interdisciplinarite: Synthese, Analyse, Modelisation",FRA,Government
1205,497,Centers for Disease Control and Prevention,USA,Health
1206,497,University of Iceland,ISL,Universities
1207,497,"Institute of Earth Environment, Chinese Academy of Science",CHN,Government
1208,498,Osterreichische Akademie der Wissenschaften *,AUT,Government
1209,498,"Texas State University, San Marcos",USA,Universities
1210,498,Hitachi *,MUL,Companies
1211,498,Indian Institute of Science,IND,Universities
1212,498,Hyundai Motor Group *,MUL,Companies
1213,498,Korea Electronics Technology Institute,KOR,Government
1214,498,Pusan National University,KOR,Universities
1215,499,"Guangdong Institute of Microbiology, Chinese Academy of Sciences",CHN,Government
1216,499,Zayed University,ARE,Universities
1217,499,Glenn Research Center,USA,Government
1218,499,Zhejiang Gongshang University,CHN,Universities
1219,499,Universite de Toulouse,FRA,Universities
1220,499,"Kunming Institute of Botany, Chinese Academy of Science",CHN,Government
1221,500,Second Xiangya Hospital Affiliated to Central South University,CHN,Health
1222,500,Beijing Jiaotong University,CHN,Universities
1223,500,Universidad de Cantabria *,ESP,Universities
1224,500,"City University of New York, Brooklyn College",USA,Universities
1225,500,Universite Polytechnique des Hauts-de-France *,FRA,Universities
1226,500,Colorado School of Mines,USA,Universities
1227,500,JSS Academy of Higher Education and Research,IND,Universities
1228,500,Institute of Hydrobiology Chinese Academy of Sciences,CHN,Government
1229,500,Dalian Medical University *,CHN,Universities
1230,501,Heilongjiang University,CHN,Universities
1231,501,Shanghai Changzheng Hospital,CHN,Health
1232,501,General Electric Company *,MUL,Companies
1233,501,Universitat Rostock *,DEU,Universities
1234,501,Bharati Vidyapeeth Deemed University,IND,Universities
1235,502,Instituto Politecnico de Braganca,PRT,Universities
1236,502,Universita degli Studi di Firenze,ITA,Universities
1237,502,Universita degli Studi di Modena e Reggio Emilia,ITA,Universities
1238,502,University of Lincoln,GBR,Universities
1239,502,Vasyl Stefanyk Precarpathian National University,UKR,Universities
1240,502,"China Medical University, Taichung *",TWN,Universities
1241,502,Universite de Lille *,FRA,Universities
1242,502,National Institute of Chemistry Slovenia,SVN,Government
1243,502,Gachon University,KOR,Universities
1244,502,Zhongshan Hospital Xiamen University,CHN,Health
1245,502,University of Twente,NLD,Universities
1246,503,Instituto de Catalisis y Petroleoquimica ,ESP,Government
1247,503,Northumbria University,GBR,Universities
1248,503,Xinhua Hospital,CHN,Health
1249,503,Slovenian NMR Centre *,SVN,Government
1250,504,Institute of High Energy Physics Chinese Academy of Science,CHN,Government
1251,504,"Research Center for Applied Sciences, Academia Sinica",TWN,Government
1252,504,University of Ontario Institute of Technology,CAN,Universities
1253,504,National University of Malaysia *,MYS,Universities
1254,504,Basque Center for Macromolecular Design and Engineering,ESP,Government
1255,504,Palacky University,CZE,Universities
1256,504,Translational Research Institute,AUS,Companies
1257,504,Universita degli Studi Mediterranea di Reggio Calabria,ITA,Universities
1258,504,Institut de Recherche pour le Developpement Paris *,FRA,Government
1259,505,Australian Synchrotron,AUS,Companies
1260,505,Helsinki University Central Hospital,FIN,Health
1261,505,University College Dublin,IRL,Universities
1262,505,National Tsing Hua University,TWN,Universities
1263,505,Ecole Normale Superieure Paris-Saclay *,FRA,Universities
1264,505,Stazione Zoologica Anton Dohrn Napoli,ITA,Government
1265,505,Universitat Bayreuth,DEU,Universities
1266,505,University of Chicago Medical Center ,USA,Health
1267,505,Universitatsklinikum Jena,DEU,Health
1268,506,"Institute of Urban Environment, Chinese Academy of Sciences",CHN,Government
1269,506,Institut fur Photonische Technologien,DEU,Government
1270,506,University of Tennessee Health Science Center,USA,Health
1271,506,Victoria University,AUS,Universities
1272,506,US Food and Drug Administration,USA,Government
1273,506,Loyola University of Chicago *,USA,Universities
1274,506,Universita degli Studi di Salerno,ITA,Universities
1275,506,Macau University of Science and Technology,MAC,Universities
1276,506,Kunming University of Science and Technology,CHN,Universities
1277,507,Yasouj University,IRN,Universities
1278,507,Louisiana Tech University,USA,Universities
1279,507,Lancaster University,GBR,Universities
1280,508,Universita degli Studi di Pavia,ITA,Universities
1281,508,China Aerospace Science and Technology Corp *,CHN,Government
1282,508,Syngenta *,MUL,Companies
1283,508,University of Gothenburg,SWE,Universities
1284,508,Sharif University of Technology,IRN,Universities
1285,509,Aston University,GBR,Universities
1286,509,Centre National d'Etudes Spatiales *,FRA,Government
1287,509,Yeungnam University,KOR,Universities
1288,509,Chonnam National University,KOR,Universities
1289,509,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",CHN,Government
1290,509,University of Huddersfield,GBR,Universities
1291,510,Lomonosov  Moscow State University,RUS,Universities
1292,510,Universita degli Studi di Roma Tor Vergata,ITA,Universities
1293,510,Altai State University,RUS,Universities
1294,510,Politecnico di Torino *,ITA,Universities
1295,510,University of Portsmouth,GBR,Universities
1296,511,University of Mississippi *,USA,Universities
1297,511,Anhui Agricultural University,CHN,Universities
1298,511,Justus-Liebig-Universitat Giessen *,DEU,Universities
1299,511,Royal Melbourne Institute of Technology *,AUS,Universities
1300,511,Gifu Pharmaceutical University,JPN,Universities
1301,511,Ecole Polytechnique,FRA,Universities
1302,511,Incheon National University,KOR,Universities
1303,511,Max Planck Institut fur Eisenforschung GmbH,DEU,Government
1304,511,First Affiliated Hospital of Xi'an Jiaotong University,CHN,Health
1305,511,New York Medical College,USA,Universities
1306,512,Swedish University of Agricultural Sciences,SWE,Universities
1307,512,"University of Missouri, Columbia *",USA,Universities
1308,512,Liaoning Medical University *,CHN,Universities
1309,512,Universita degli Studi di Parma,ITA,Universities
1310,512,La Trobe University *,AUS,Universities
1311,512,Centre for Free Electron Laser Science,DEU,Government
1312,512,Mashhad University of Medical Sciences,IRN,Universities
1313,513,Southwest Petroleum University,CHN,Universities
1314,513,Centro de Investigacion y Tecnologia Agroalimentaria de Aragon *,ESP,Government
1315,513,Tianjin University of Science and Technology,CHN,Universities
1316,513,Nanjing University of Chinese Medicine *,CHN,Universities
1317,513,Universitat Konstanz,DEU,Universities
1318,514,Zhengzhou University of Light Industry,CHN,Universities
1319,514,First Affilated Hospital of Wenzhou Medical University,CHN,Health
1320,514,Kookmin University,KOR,Universities
1321,514,Bahria University,PAK,Universities
1322,514,Medizinische Hochschule Hannover,DEU,Universities
1323,514,Hospital Universitario La Fe,ESP,Health
1324,515,Sejong University,KOR,Universities
1325,515,First Affiliated Hospital Harbin Medical University,CHN,Health
1326,515,Universidad de Granada *,ESP,Universities
1327,515,Flinders University,AUS,Universities
1328,515,Taipei Medical University,TWN,Universities
1329,515,Science and Technology Facilities Council *,GBR,Government
1330,516,Monash University Malaysia,MYS,Universities
1331,516,Missouri University of Science & Technology,USA,Universities
1332,516,Xinyang Normal University,CHN,Universities
1333,516,Duzce University,TUR,Universities
1334,516,Hunan University of Traditional Chinese Medicine,CHN,Universities
1335,516,University of Miami *,USA,Universities
1336,516,Woods Hole Oceanographic Institution,USA,Non-Profit
1337,517,Ames Laboratory,USA,Government
1338,517,University of Shanghai for Science and Technology,CHN,Universities
1339,517,Sumitomo Group *,MUL,Companies
1340,517,Universitatsklinikum Munster,DEU,Health
1341,517,Instituto de Ciencia de Materiales de Aragon ,ESP,Government
1342,517,Universita degli Studi di Ferrara,ITA,Universities
1343,517,Industrial Technology Research Institute of Taiwan,TWN,Government
1344,517,Ecole Normale Superieure de Paris *,FRA,Universities
1345,518,University of Oklahoma Health Sciences Center,USA,Universities
1346,518,Shanghai Academy of Agricultural Sciences,CHN,Government
1347,518,Irish Agriculture and Food Development Authority,IRL,Government
1348,518,Technische Universitat Dortmund *,DEU,Universities
1349,519,Universitat zu Koln,DEU,Universities
1350,519,University of Auckland,NZL,Universities
1351,519,Beijing University of Agriculture,CHN,Universities
1352,519,Universita degli Studi Magna Graecia di Catanzaro,ITA,Universities
1353,519,"University of Engineering and Technology, Taxila",PAK,Universities
1354,519,"University of Massachusetts, Boston",USA,Universities
1355,520,Indian Institute of Integrative Medicine,IND,Government
1356,520,Yanbian University *,CHN,Universities
1357,520,Universita degli Studi di Genova,ITA,Universities
1358,521,Xidian University,CHN,Universities
1359,521,University of Malaya *,MYS,Universities
1360,521,Guangdong Pharmaceutical University,CHN,Universities
1361,521,Akdeniz University,TUR,Universities
1362,522,Max Planck Institut fur Biophysik,DEU,Government
1363,522,The University of Kent,GBR,Universities
1364,522,Universidad de La Rioja *,ESP,Universities
1365,522,Geoforschungszentrum Potsdam,DEU,Government
1366,523,"National University of Ireland, Maynooth",IRL,Universities
1367,523,"University of Maryland, Baltimore County",USA,Universities
1368,523,Cha University *,KOR,Universities
1369,523,Kansas State University,USA,Universities
1370,523,University of Cincinnati Medical Center,USA,Health
1371,523,Shanghai Ocean University,CHN,Universities
1372,524,Universidade de Lisboa,PRT,Universities
1373,524,Universite du Quebec en Quebec *,CAN,Universities
1374,524,Universita della Calabria,ITA,Universities
1375,524,Soon Chun Hyang University *,KOR,Universities
1376,524,Jishou University,CHN,Universities
1377,525,"Chang Gung Memorial Hospital, Taipei *",TWN,Health
1378,526,Ecole Centrale Marseille *,FRA,Universities
1379,526,Ruijin Hospital,CHN,Health
1380,526,China National Petroleum Corp *,CHN,Companies
1381,527,Shanghai University of Traditional Chinese Medicine *,CHN,Universities
1382,527,University of Aberdeen,GBR,Universities
1383,527,Laboratoire d'Analyse et d'Architecture des Systemes,FRA,Government
1384,527,Institute of Organic Chemistry and Biochemistry of the ASCR,CZE,Government
1385,527,Centro Singular de Investigacion en QuГ­mica Biologica y Materiales Moleculares,ESP,Government
1386,527,Idaho National Laboratory,USA,Government
1387,527,Universita degli Studi di Napoli Parthenope,ITA,Universities
1388,528,American University of Beirut *,LBN,Universities
1389,528,Hubei University of Science And Technology,CHN,Universities
1390,528,University Putra Malaysia,MYS,Universities
1391,528,Soongsil University,KOR,Universities
1392,529,Catholic University of Louvain,BEL,Universities
1393,529,University of Turku,FIN,Universities
1394,529,Ecole Centrale de Lille *,FRA,Universities
1395,530,Hung Kuang University,TWN,Universities
1396,530,"Institute of Atmospheric Physics, Chinese Academy of Sciences",CHN,Government
1397,530,University of Limerick,IRL,Universities
1398,530,Centro de Biologia Molecular Severo Ochoa,ESP,Government
1399,530,Misr University for Science and Technology,EGY,Universities
1400,530,Hunan University of Science and Engineering,CHN,Universities
1401,531,Indian Institute of Chemical Technology,IND,Government
1402,531,"National University of Ireland, Galway",IRL,Universities
1403,531,Ecole de Technologie Superieure,CAN,Universities
1404,531,University of Baghdad,IRQ,Universities
1405,531,Shaoguan University,CHN,Universities
1406,531,Hangzhou Normal University *,CHN,Universities
1407,531,Heinrich Heine Universitat Dusseldorf  *,DEU,Universities
1408,531,Shanghai Institute of Applied Physics Chinese Academy of Sciences,CHN,Government
1409,531,Universita degli Studi di Milano-Bicocca,ITA,Universities
1410,531,Qiqihar Medical University,CHN,Universities
1411,532,"Hyundai Motor Co, South Korea",KOR,Companies
1412,532,Fujita Health University *,JPN,Universities
1413,532,Universita degli Studi di Trento,ITA,Universities
1414,532,Universidade do Minho,PRT,Universities
1415,532,Universitatsklinikum Frankfurt,DEU,Health
1416,533,European Commission *,MUL,Government
1417,533,Peter the Great St Petersburg Polytechnic University,RUS,Universities
1418,533,Universitat Duisburg Essen *,DEU,Universities
1419,533,Jawaharlal Nehru Centre for Advanced Scientific Research,IND,Universities
1420,533,Universidade Estadual de Campinas,BRA,Universities
1421,534,Universite d'Angers *,FRA,Universities
1422,534,Universita degli Studi della Campania Luigi Vanvitelli,ITA,Universities
1423,534,Universidad Publica de Navarra *,ESP,Universities
1424,534,"University of Nottingham, Malaysia Campus",MYS,Universities
1425,534,Norwegian University of Science and Technology,NOR,Universities
1426,534,Maastricht University,NLD,Universities
1427,534,Sogang University,KOR,Universities
1428,534,Medizinische Universitat Wien,AUT,Universities
1429,535,Universitat de Girona,ESP,Universities
1430,535,National Institute of Public Health of Japan,JPN,Health
1431,535,Junta de Andalucia Sevilla *,ESP,Government
1432,535,National Physical Laboratory,GBR,Government
1433,535,China Academy of Engineering Physics,CHN,Government
1434,535,Universite de Bretagne Occidentale *,FRA,Universities
1435,536,Procter & Gamble Co *,MUL,Companies
1436,536,Capital Normal University *,CHN,Universities
1437,536,University of Tasmania,AUS,Universities
1438,536,Ohio University,USA,Universities
1439,536,Rutherford Appleton Laboratory,GBR,Government
1440,536,Western Washington University,USA,Universities
1441,536,Universidade Federal do Rio de Janeiro,BRA,Universities
1442,536,Lehigh University,USA,Universities
1443,536,"Procter & Gamble, USA",USA,Companies
1444,537,Laboratoire d'Etudes et de Recherches sur le Materiau Bois,FRA,Government
1445,537,National Energy Technology Laboratory,USA,Government
1446,537,Universitat Bern,CHE,Universities
1447,537,NASA Ames Research Center,USA,Government
1448,537,Central Michigan University,USA,Universities
1449,537,Universiti Teknologi Brunei,BRN,Universities
1450,537,Seton Hall University,USA,Universities
1451,538,Hohai University,CHN,Universities
1452,538,Politecnico di Bari,ITA,Universities
